date,storage,inflow,outflow,evaporation,elevation,,,,,,,
11/15/65,NA,1781.127,1803.78,NA,NA,,,,,,,
11/16/65,NA,1679.186,1693.345,NA,NA,,,,,,,
11/17/65,NA,1673.523,1659.364,NA,NA,,,,,,,
11/18/65,NA,1905.721,1749.978,NA,NA,,,,,,,
11/19/65,NA,1851.919,1795.285,NA,NA,,,,,,,
11/20/65,NA,1766.968,1749.978,NA,NA,,,,,,,
11/21/65,NA,1684.85,1747.147,NA,NA,,,,,,,
11/22/65,NA,1755.642,1806.612,NA,NA,,,,,,,
11/23/65,NA,1908.552,1834.929,NA,NA,,,,,,,
11/24/65,NA,1874.572,1755.642,NA,NA,,,,,,,
11/25/65,NA,1806.612,1650.869,NA,NA,,,,,,,
11/26/65,NA,1701.84,1945.364,NA,NA,,,,,,,
11/27/65,NA,1563.087,1902.889,NA,NA,,,,,,,
11/28/65,NA,1469.642,1917.047,NA,NA,,,,,,,
11/29/65,NA,1580.077,1953.859,NA,NA,,,,,,,
11/30/65,NA,1633.879,1670.691,NA,NA,,,,,,,
12/1/65,NA,1710.335,1625.384,NA,NA,,,,,,,
12/2/65,NA,1846.255,1783.958,NA,NA,,,,,,,
12/3/65,NA,1670.691,1724.493,NA,NA,,,,,,,
12/4/65,NA,1928.374,1684.85,NA,NA,,,,,,,
12/5/65,NA,1747.147,1509.285,NA,NA,,,,,,,
12/6/65,NA,1778.295,1656.533,NA,NA,,,,,,,
12/7/65,NA,1715.998,1585.741,NA,NA,,,,,,,
12/8/65,NA,1636.711,1735.82,NA,NA,,,,,,,
12/9/65,NA,1602.731,1888.731,NA,NA,,,,,,,
12/10/65,NA,1602.731,1868.909,NA,NA,,,,,,,
12/11/65,NA,1526.276,1922.711,NA,NA,,,,,,,
12/12/65,NA,1458.315,1939.701,NA,NA,,,,,,,
12/13/65,NA,1534.771,2103.938,NA,NA,,,,,,,
12/14/65,NA,1424.335,2069.958,NA,NA,,,,,,,
12/15/65,NA,1463.979,1951.028,NA,NA,,,,,,,
12/16/65,NA,1435.662,2021.82,NA,NA,,,,,,,
12/17/65,NA,1418.672,2078.453,NA,NA,,,,,,,
12/18/65,NA,1452.652,2047.305,NA,NA,,,,,,,
12/19/65,NA,1328.058,2251.186,NA,NA,,,,,,,
12/20/65,NA,1362.038,2157.74,NA,NA,,,,,,,
12/21/65,NA,1398.85,2109.602,NA,NA,,,,,,,
12/22/65,NA,1333.721,2047.305,NA,NA,,,,,,,
12/23/65,NA,1611.226,2157.74,NA,NA,,,,,,,
12/24/65,NA,1602.731,1945.364,NA,NA,,,,,,,
12/25/65,NA,1512.117,1911.384,NA,NA,,,,,,,
12/26/65,NA,1523.444,1883.067,NA,NA,,,,,,,
12/27/65,NA,1441.325,1996.334,NA,NA,,,,,,,
12/28/65,NA,1291.246,1931.206,NA,NA,,,,,,,
12/29/65,NA,1625.384,1888.731,NA,NA,,,,,,,
12/30/65,NA,1398.85,1897.226,NA,NA,,,,,,,
12/31/65,NA,1427.167,1914.216,NA,NA,,,,,,,
1/1/66,NA,1390.355,1834.929,NA,NA,,,,,,,
1/2/66,NA,1322.395,1948.196,NA,NA,,,,,,,
1/3/66,NA,1299.741,2166.235,NA,NA,,,,,,,
1/4/66,NA,1132.672,2183.225,NA,NA,,,,,,,
1/5/66,NA,1350.711,2095.443,NA,NA,,,,,,,
1/6/66,NA,1228.949,1775.463,NA,NA,,,,,,,
1/7/66,NA,1291.246,1557.424,NA,NA,,,,,,,
1/8/66,NA,1197.801,1486.632,NA,NA,,,,,,,
1/9/66,NA,1444.157,1517.78,NA,NA,,,,,,,
1/10/66,NA,1101.524,1724.493,NA,NA,,,,,,,
1/11/66,NA,1512.117,1747.147,NA,NA,,,,,,,
1/12/66,NA,1449.82,1764.137,NA,NA,,,,,,,
1/13/66,NA,1449.82,1778.295,NA,NA,,,,,,,
1/14/66,NA,1444.157,1820.77,NA,NA,,,,,,,
1/15/66,NA,1548.929,1531.939,NA,NA,,,,,,,
1/16/66,NA,1563.087,1520.612,NA,NA,,,,,,,
1/17/66,NA,1271.424,1803.78,NA,NA,,,,,,,
1/18/66,NA,1449.82,1718.83,NA,NA,,,,,,,
1/19/66,NA,1560.256,1789.622,NA,NA,,,,,,,
1/20/66,NA,1441.325,2058.631,NA,NA,,,,,,,
1/21/66,NA,1364.87,2021.82,NA,NA,,,,,,,
1/22/66,NA,1231.781,1883.067,NA,NA,,,,,,,
1/23/66,NA,1214.791,1783.958,NA,NA,,,,,,,
1/24/66,NA,1311.068,1973.681,NA,NA,,,,,,,
1/25/66,NA,1319.563,2004.829,NA,NA,,,,,,,
1/26/66,NA,1336.553,2004.829,NA,NA,,,,,,,
1/27/66,NA,1364.87,1953.859,NA,NA,,,,,,,
1/28/66,NA,1291.246,1877.404,NA,NA,,,,,,,
1/29/66,NA,1313.9,1798.117,NA,NA,,,,,,,
1/30/66,NA,1265.761,1800.948,NA,NA,,,,,,,
1/31/66,NA,1475.305,1928.374,NA,NA,,,,,,,
2/1/66,NA,1404.513,2024.651,NA,NA,,,,,,,
2/2/66,NA,1353.543,2149.245,NA,NA,,,,,,,
2/3/66,NA,1362.038,2135.087,NA,NA,,,,,,,
2/4/66,NA,1438.493,2098.275,NA,NA,,,,,,,
2/5/66,NA,1313.9,2109.602,NA,NA,,,,,,,
2/6/66,NA,1166.652,1905.721,NA,NA,,,,,,,
2/7/66,NA,1240.276,2217.205,NA,NA,,,,,,,
2/8/66,NA,1410.177,2259.681,NA,NA,,,,,,,
2/9/66,NA,1336.553,2237.027,NA,NA,,,,,,,
2/10/66,NA,1356.375,2222.869,NA,NA,,,,,,,
2/11/66,NA,1206.296,2231.364,NA,NA,,,,,,,
2/12/66,NA,1418.672,2262.512,NA,NA,,,,,,,
2/13/66,NA,1427.167,2106.77,NA,NA,,,,,,,
2/14/66,NA,1251.603,2137.918,NA,NA,,,,,,,
2/15/66,NA,1367.701,2098.275,NA,NA,,,,,,,
2/16/66,NA,1418.672,2118.097,NA,NA,,,,,,,
2/17/66,NA,1480.969,2143.582,NA,NA,,,,,,,
2/18/66,NA,1480.969,2234.196,NA,NA,,,,,,,
2/19/66,NA,1421.503,2211.542,NA,NA,,,,,,,
2/20/66,NA,1342.216,2183.225,NA,NA,,,,,,,
2/21/66,NA,1472.474,2160.572,NA,NA,,,,,,,
2/22/66,NA,1410.177,2203.047,NA,NA,,,,,,,
2/23/66,NA,1435.662,2166.235,NA,NA,,,,,,,
2/24/66,NA,1285.583,2061.463,NA,NA,,,,,,,
2/25/66,NA,1260.098,2035.978,NA,NA,,,,,,,
2/26/66,NA,1166.652,1900.057,NA,NA,,,,,,,
2/27/66,NA,1206.296,1693.345,NA,NA,,,,,,,
2/28/66,NA,1186.474,2050.136,NA,NA,,,,,,,
3/1/66,NA,1421.503,2200.215,NA,NA,,,,,,,
3/2/66,NA,1376.196,2214.374,NA,NA,,,,,,,
3/3/66,NA,1478.137,2259.681,NA,NA,,,,,,,
3/4/66,NA,1529.107,2273.839,NA,NA,,,,,,,
3/5/66,NA,1441.325,2214.374,NA,NA,,,,,,,
3/6/66,NA,1463.979,2166.235,NA,NA,,,,,,,
